total_area,street
53.0,Малоземельна
65.0,Спаська
87.3,Прорізна
69.0,Милославська
61.0,ЖК Бульвар Фонтанів
81.0,Драгомирова
57.0,Гавела (Івана Лепсе)
48.0,Данченко
47.0,Шолуденко
93.0,Михайлівський
49.0,ЖК CRYSTAL RESIDENCE
66.25,Бойчука (Кіквідзе)
72.0,Антоновича (Горького)
65.0,Ольжича
49.0,Ревуцького
31.0,ЖК Берег Дніпра
41.0,Практична
53.0,Жмаченко
77.0,Скрипника (Микола Островського)
100.0,Коновальця (Щорса)
55.0,Бажана
58.0,Григоренко
52.0,ЖК Manhattan city
312.0,Драгомирова
87.0,Данченко
145.0,Бутишев (Андрія Іванова)
50.0,Маккейна (Івана Кудрі)
125.0,Лейпцизька
43.0,Правди
130.0,Болсунівська (Сергія Струтинського)
81.0,Драгомирова
208.0,Старонаводницька
306.0,Протасів Яр
54.0,Дніпровська
105.0,Лобановського (Червонозоряний)
69.0,Дніпровська
66.0,Павлівська
67.0,Ломоносова
46.0,Ахматової
104.0,Вернадського
55.0,Балтійський
92.0,Липківського (Урицького)
86.0,Резницька
87.0,Каховська
43.2,Закревського
86.74,Сверстюка (Марини Раскової)
90.77,Правди
48.6,Героїв Сталінграда
86.38,Правди
51.0,Героїв Дніпра
250.0,Б. Житомирська
25.0,Корольова
42.0,Крушельницької
46.0,Регенераторна
127.0,Голосіївська
46.0,Старокиївська
66.0,Дніпровська
122.8,Героїв Сталінграда
70.0,Сікорського (Танкова)
81.0,Саксаганського
54.9,Драгоманова
41.3,Героїв Дніпра
85.0,Велика Васильківська (Червоноармійська)
79.0,Малевича (Василя Боженка)
83.0,Юрківська
38.0,Нагірна
160.0,Щекавицька
37.0,Жуковського
198.3,Павлівська
108.0,Маккейна (Івана Кудрі)
150.0,Бальзака
72.0,Приозерна
130.9,Інститутська
41.0,Правди
53.0,Коновальця (Щорса)
43.0,Зарічна
46.5,Стражеска
71.0,Харківське
56.0,Жилянська
118.0,Бориспільська
80.0,Воскресенська
85.0,Дігтярна
104.0,Сім'ї Прахових (Гайдара)
60.27,Богатирська
47.3,Мурашка
31.0,Щусєва
90.0,Андрющенко
104.0,Ділова (Георгія Димитрова)
46.0,Перемоги (Брест-Литовський)
103.0,Маккейна (Івана Кудрі)
38.0,Драйзера
111.0,Срібнокільська
90.0,Туманяна
55.8,Відрадний (Чубаря)
79.0,Попова
74.0,Зелена
46.0,Курчатова
49.0,Архипенко (Залки Мате)
76.0,Здолбунівська
103.0,Градинська
46.5,Дніпровська
110.0,Теремківська
70.0,Українки
95.09,Ушинського
60.0,Бондарський
93.0,Милославська
130.0,Героїв Сталінграда
25.0,Практична
55.0,Герцена
171.0,Тургенєвська
43.0,Магнітогорська
48.0,Героїв Сталінграда
87.0,Полтавська
53.0,Перемоги (Брест-Литовський)
84.0,Річкова
46.0,Ярославська
52.0,Деміївська
91.0,Саперне Поле
65.0,Каховська
82.0,Бойчука (Кіквідзе)
88.0,Хрещатик
41.0,Червоноткацька
150.0,Грушевського
73.0,Драгоманова
81.0,Каховська
50.0,Антоновича (Горького)
37.0,Максимовича (Онуфрія Трутенко)
60.0,Драгомирова
30.0,ЖК POLARIS Home&Plaza
63.0,Комфортна та сучасна
213.0,Паторжинського
73.7,Голосіївський (40-річчя Жовтня)
45.1,Харківське
87.0,Йорданська (Гавро Лайоша)
68.0,ЖК Ярославів Град
103.0,Вільямса
79.97,Жмаченко
91.0,Радченко
64.0,Ясинуватський
61.0,ЖК Бульвар Фонтанів
94.0,Вишгородська
111.0,Вишгородська
46.0,Герцена
40.0,Предславинська
70.0,Вербицького
84.0,Тарасівська
53.0,ЖК Olympic Park
80.0,Липківського (Урицького)
70.0,Кирилівська (Фрунзе)
137.0,Маршака
51.0,Берковецька
52.0,Драгоманова
248.0,Хмельницького
52.0,Драгоманова
74.0,Сверстюка (Марини Раскової)
108.0,Лисянська
111.1,Антоновича (Горького)
123.89,Максимовича (Онуфрія Трутенко)
55.0,Дніпровська
67.0,Васильківська
70.0,Панельна
88.0,Драгомирова
24.0,Виборзька
42.8,Гулака
96.19,Маланюка (Степана Сагайдака)
46.0,Антоновича (Горького)
250.0,Болсунівська (Сергія Струтинського)
37.0,Каховська
51.0,Осокорська
61.0,Липківського (Урицького)
110.0,Срібнокільська
64.0,Гавела (Івана Лепсе)
32.1,Теліги
110.0,Ахматової
51.0,Перемоги (Брест-Литовський)
70.0,Саксаганського
45.0,Українки
74.2,Радистів
70.0,Лисенка
41.08,Максимовича (Онуфрія Трутенко)
80.0,Перемоги (Брест-Литовський)
40.0,Дніпровська
54.0,Коновальця (Щорса)
98.0,Дніпровська
185.0,Золотоустівська
48.75,Північно-Сирецька
73.0,Дяченка
110.0,Драгомирова
40.0,Лобачевського
165.0,Толстого
74.0,Вербицького
57.0,І. Павла ІІ (Патріса Лумумби)
70.0,Бережанська
86.72,Сверстюка (Марини Раскової)
78.0,Героїв Сталінграда
58.7,Перемоги (Брест-Литовський)
92.0,Львівська
54.0,Драгоманова
85.0,Перемоги (Брест-Литовський)
350.0,Здолбунівська
80.1,Перемоги (Брест-Литовський)
170.0,Антоновича (Горького)
48.0,Українки
55.0,Наумова
230.0,Богомольця
155.72,Бойчука (Кіквідзе)
81.6,Бойчука (Кіквідзе)
91.2,Голосіївська
120.3,Малевича (Василя Боженка)
29.0,Сім'ї Ідзіковських (Михайло Мішина)
67.0,Володимирська
72.0,Балтійський
55.0,Феодосійська
47.24,Кібальчича
49.31,Ревуцького
62.0,Предславинська
130.0,Коновальця (Щорса)
67.0,Антоновича (Горького)
42.0,Машинобудівний
74.0,Гаврилишина (Ванди Василевської)
88.0,Харківське
49.0,Ломоносова
42.0,Сверстюка (Марини Раскової)
49.0,Гонгадзе (Машинобудівна)
55.0,Повітрофлотський
42.0,Маккейна (Івана Кудрі)
142.0,Старонаводницька
50.0,Практична
32.0,Оболонський
44.0,Причальна
52.0,Микільсько-Ботанічна
156.0,Бойчука (Кіквідзе)
123.0,Глибочицька
165.0,Драгомирова
66.0,Глибочицька
82.2,Велика Васильківська (Червоноармійська)
41.0,Тимошенко
42.0,Ентузіастів
61.0,Іпсілантіївський (Аїстова)
80.0,Туманяна
119.0,Драгомирова
53.0,Чорновола (Косіора)
63.0,Болсунівська (Сергія Струтинського)
43.0,Підвисоцького
86.0,Оболонський
120.0,Драгомирова
108.0,Котельникова
94.0,Нижньоключова
115.0,Дніпровська
36.25,Радченко
55.0,Ясногірська
62.0,Каховська
53.0,ЖК Washington Concept House
48.5,Дмитрівська
122.0,Оболонська набережна
90.0,Чорновола (Косіора)
55.0,Дружби народів
40.0,Метрологічна
46.0,ЖК Forward
340.0,Коновальця (Щорса)
41.0,Наддніпрянське
47.0,Микільський (Січневий)
55.0,Коласа
79.0,ЖК Dibrova Park
65.0,Вернадського
32.0,Калнишевського (Михайло Майорова)
63.0,Повітрофлотський
50.0,Микільсько-Слобідська
36.0,Перемоги (Брест-Литовський)
35.0,Березнева
52.0,ЖК Krauss Gallery
50.0,Пчілки
165.0,Героїв Сталінграда
71.0,Перемоги (Брест-Литовський)
110.0,Ломоносова
102.0,Протасів Яр
80.0,Нижньоключова
60.0,Кулібіна
70.0,Пчілки
80.0,Симиренко
84.0,Регенераторна
72.0,Ахматової
96.0,Коновальця (Щорса)
32.0,Віфлеємська (Академіка Шліхтера)
113.0,Гмирі
119.0,Голосіївська
61.0,Вернадського
75.0,Соборності (Поєднання)
54.83,Антоновича (Горького)
82.0,Регенераторна
98.0,Калнишевського (Михайло Майорова)
32.0,Стеценка
37.0,Кольцова
96.0,Палладіна
74.0,Тютюнника (Анрі Барбюса)
54.0,Львівська
88.0,Мар'яненко
125.2,Вишгородська
65.0,Дніпровська
50.0,Андріївський
100.0,Урлівська
